A = 00000000, B = 00000000, PC = 00000003, SP = 00000000
A = 00000000, B = 00000000, PC = 00000004, SP = 00000000
A = 00000000, B = 00000000, PC = 00000005, SP = 00000000
A = 00000000, B = 00000000, PC = 00000006, SP = 00000000
A = 00000000, B = 00000000, PC = 00000007, SP = 00000000
A = 0000002b, B = 00000000, PC = 00000008, SP = 00000000
A = 0000002b, B = 00000000, PC = 00000009, SP = 00000000
A = 00000001, B = 0000002b, PC = 0000000a, SP = 00000000
A = 0000002a, B = 0000002b, PC = 0000000b, SP = 00000000
A = 0000002b, B = 0000002b, PC = 0000000c, SP = 00000000
A = 00000000, B = 0000002b, PC = 0000000d, SP = 00000000
A = 00000000, B = 00000000, PC = 0000000e, SP = 00000000
A = 00000001, B = 00000000, PC = 0000000f, SP = 00000000
A = 00000007, B = 00000000, PC = 00000010, SP = 00000000
A = 00000000, B = 00000000, PC = 00000011, SP = 00000007
A = 00000015, B = 00000000, PC = 00000012, SP = 00000007
A = 00000015, B = 00000000, PC = 00000013, SP = 00000008
A = 00000022, B = 00000015, PC = 00000014, SP = 00000008
A = 00000037, B = 00000015, PC = 00000015, SP = 00000008
A = 00000015, B = 00000015, PC = 00000016, SP = 00000008
A = 00000000, B = 00000015, PC = 00000017, SP = 00000008
A = 00000000, B = 00000000, PC = 00000018, SP = 00000008
A = 00000001, B = 00000000, PC = 00000019, SP = 00000008
A = 00000007, B = 00000000, PC = 0000001a, SP = 00000008
A = 00000001, B = 00000007, PC = 0000001b, SP = 00000008
A = 00000008, B = 00000007, PC = 0000001c, SP = 00000008
A = 00000000, B = 00000008, PC = 0000001d, SP = 00000008
A = 00000008, B = 00000008, PC = 0000001e, SP = 00000000
A = 00000008, B = 00000008, PC = 0000001f, SP = 00000000
A = 00000008, B = 00000008, PC = 00000020, SP = 00000000
A = 00000000, B = 00000008, PC = 00000021, SP = 00000000
A = 00000000, B = 00000000, PC = 00000022, SP = 00000000
A = 00000000, B = 00000000, PC = 00000003, SP = 00000000
A = 00000000, B = 00000000, PC = 00000004, SP = 00000000
A = 00000000, B = 00000000, PC = 00000005, SP = 00000000
A = 00000000, B = 00000000, PC = 00000006, SP = 00000000
A = 00000000, B = 00000000, PC = 00000007, SP = 00000000
A = 0000002a, B = 00000000, PC = 00000008, SP = 00000000
A = 0000002a, B = 00000000, PC = 00000009, SP = 00000000
A = 00000001, B = 0000002a, PC = 0000000a, SP = 00000000
A = 00000029, B = 0000002a, PC = 0000000b, SP = 00000000
A = 0000002a, B = 0000002a, PC = 0000000c, SP = 00000000
A = 00000000, B = 0000002a, PC = 0000000d, SP = 00000000
A = 00000000, B = 00000000, PC = 0000000e, SP = 00000000
A = 00000001, B = 00000000, PC = 0000000f, SP = 00000000
A = 00000008, B = 00000000, PC = 00000010, SP = 00000000
A = 00000000, B = 00000000, PC = 00000011, SP = 00000008
A = 00000022, B = 00000000, PC = 00000012, SP = 00000008
A = 00000022, B = 00000000, PC = 00000013, SP = 00000009
A = 00000037, B = 00000022, PC = 00000014, SP = 00000009
A = 00000059, B = 00000022, PC = 00000015, SP = 00000009
A = 00000022, B = 00000022, PC = 00000016, SP = 00000009
A = 00000000, B = 00000022, PC = 00000017, SP = 00000009
A = 00000000, B = 00000000, PC = 00000018, SP = 00000009
A = 00000001, B = 00000000, PC = 00000019, SP = 00000009
A = 00000008, B = 00000000, PC = 0000001a, SP = 00000009
A = 00000001, B = 00000008, PC = 0000001b, SP = 00000009
A = 00000009, B = 00000008, PC = 0000001c, SP = 00000009
A = 00000000, B = 00000009, PC = 0000001d, SP = 00000009
A = 00000009, B = 00000009, PC = 0000001e, SP = 00000000
A = 00000009, B = 00000009, PC = 0000001f, SP = 00000000
A = 00000009, B = 00000009, PC = 00000020, SP = 00000000
A = 00000000, B = 00000009, PC = 00000021, SP = 00000000
A = 00000000, B = 00000000, PC = 00000022, SP = 00000000
A = 00000000, B = 00000000, PC = 00000003, SP = 00000000
A = 00000000, B = 00000000, PC = 00000004, SP = 00000000
A = 00000000, B = 00000000, PC = 00000005, SP = 00000000
A = 00000000, B = 00000000, PC = 00000006, SP = 00000000
A = 00000000, B = 00000000, PC = 00000007, SP = 00000000
A = 00000029, B = 00000000, PC = 00000008, SP = 00000000
A = 00000029, B = 00000000, PC = 00000009, SP = 00000000
A = 00000001, B = 00000029, PC = 0000000a, SP = 00000000
A = 00000028, B = 00000029, PC = 0000000b, SP = 00000000
A = 00000029, B = 00000029, PC = 0000000c, SP = 00000000
A = 00000000, B = 00000029, PC = 0000000d, SP = 00000000
A = 00000000, B = 00000000, PC = 0000000e, SP = 00000000
A = 00000001, B = 00000000, PC = 0000000f, SP = 00000000
A = 00000009, B = 00000000, PC = 00000010, SP = 00000000
A = 00000000, B = 00000000, PC = 00000011, SP = 00000009
A = 00000037, B = 00000000, PC = 00000012, SP = 00000009
A = 00000037, B = 00000000, PC = 00000013, SP = 0000000a
A = 00000059, B = 00000037, PC = 00000014, SP = 0000000a
A = 00000090, B = 00000037, PC = 00000015, SP = 0000000a
A = 00000037, B = 00000037, PC = 00000016, SP = 0000000a
A = 00000000, B = 00000037, PC = 00000017, SP = 0000000a
A = 00000000, B = 00000000, PC = 00000018, SP = 0000000a
A = 00000001, B = 00000000, PC = 00000019, SP = 0000000a
A = 00000009, B = 00000000, PC = 0000001a, SP = 0000000a
A = 00000001, B = 00000009, PC = 0000001b, SP = 0000000a
A = 0000000a, B = 00000009, PC = 0000001c, SP = 0000000a
A = 00000000, B = 0000000a, PC = 0000001d, SP = 0000000a
A = 0000000a, B = 0000000a, PC = 0000001e, SP = 00000000
A = 0000000a, B = 0000000a, PC = 0000001f, SP = 00000000
A = 0000000a, B = 0000000a, PC = 00000020, SP = 00000000
A = 00000000, B = 0000000a, PC = 00000021, SP = 00000000
A = 00000000, B = 00000000, PC = 00000022, SP = 00000000
A = 00000000, B = 00000000, PC = 00000003, SP = 00000000
A = 00000000, B = 00000000, PC = 00000004, SP = 00000000
A = 00000000, B = 00000000, PC = 00000005, SP = 00000000
A = 00000000, B = 00000000, PC = 00000006, SP = 00000000
A = 00000000, B = 00000000, PC = 00000007, SP = 00000000
A = 00000028, B = 00000000, PC = 00000008, SP = 00000000
A = 00000028, B = 00000000, PC = 00000009, SP = 00000000
A = 00000001, B = 00000028, PC = 0000000a, SP = 00000000
A = 00000027, B = 00000028, PC = 0000000b, SP = 00000000
A = 00000028, B = 00000028, PC = 0000000c, SP = 00000000
A = 00000000, B = 00000028, PC = 0000000d, SP = 00000000
A = 00000000, B = 00000000, PC = 0000000e, SP = 00000000
A = 00000001, B = 00000000, PC = 0000000f, SP = 00000000
A = 0000000a, B = 00000000, PC = 00000010, SP = 00000000
A = 00000000, B = 00000000, PC = 00000011, SP = 0000000a
A = 00000059, B = 00000000, PC = 00000012, SP = 0000000a
A = 00000059, B = 00000000, PC = 00000013, SP = 0000000b
A = 00000090, B = 00000059, PC = 00000014, SP = 0000000b
A = 000000e9, B = 00000059, PC = 00000015, SP = 0000000b
A = 00000059, B = 00000059, PC = 00000016, SP = 0000000b
A = 00000000, B = 00000059, PC = 00000017, SP = 0000000b
A = 00000000, B = 00000000, PC = 00000018, SP = 0000000b
A = 00000001, B = 00000000, PC = 00000019, SP = 0000000b
A = 0000000a, B = 00000000, PC = 0000001a, SP = 0000000b
A = 00000001, B = 0000000a, PC = 0000001b, SP = 0000000b
A = 0000000b, B = 0000000a, PC = 0000001c, SP = 0000000b
A = 00000000, B = 0000000b, PC = 0000001d, SP = 0000000b
A = 0000000b, B = 0000000b, PC = 0000001e, SP = 00000000
A = 0000000b, B = 0000000b, PC = 0000001f, SP = 00000000
A = 0000000b, B = 0000000b, PC = 00000020, SP = 00000000
A = 00000000, B = 0000000b, PC = 00000021, SP = 00000000
A = 00000000, B = 00000000, PC = 00000022, SP = 00000000
A = 00000000, B = 00000000, PC = 00000003, SP = 00000000
A = 00000000, B = 00000000, PC = 00000004, SP = 00000000
A = 00000000, B = 00000000, PC = 00000005, SP = 00000000
A = 00000000, B = 00000000, PC = 00000006, SP = 00000000
A = 00000000, B = 00000000, PC = 00000007, SP = 00000000
A = 00000027, B = 00000000, PC = 00000008, SP = 00000000
A = 00000027, B = 00000000, PC = 00000009, SP = 00000000
A = 00000001, B = 00000027, PC = 0000000a, SP = 00000000
A = 00000026, B = 00000027, PC = 0000000b, SP = 00000000
A = 00000027, B = 00000027, PC = 0000000c, SP = 00000000
A = 00000000, B = 00000027, PC = 0000000d, SP = 00000000
A = 00000000, B = 00000000, PC = 0000000e, SP = 00000000
A = 00000001, B = 00000000, PC = 0000000f, SP = 00000000
A = 0000000b, B = 00000000, PC = 00000010, SP = 00000000
A = 00000000, B = 00000000, PC = 00000011, SP = 0000000b
A = 00000090, B = 00000000, PC = 00000012, SP = 0000000b
A = 00000090, B = 00000000, PC = 00000013, SP = 0000000c
A = 000000e9, B = 00000090, PC = 00000014, SP = 0000000c
A = 00000179, B = 00000090, PC = 00000015, SP = 0000000c
A = 00000090, B = 00000090, PC = 00000016, SP = 0000000c
A = 00000000, B = 00000090, PC = 00000017, SP = 0000000c
A = 00000000, B = 00000000, PC = 00000018, SP = 0000000c
A = 00000001, B = 00000000, PC = 00000019, SP = 0000000c
A = 0000000b, B = 00000000, PC = 0000001a, SP = 0000000c
A = 00000001, B = 0000000b, PC = 0000001b, SP = 0000000c
A = 0000000c, B = 0000000b, PC = 0000001c, SP = 0000000c
A = 00000000, B = 0000000c, PC = 0000001d, SP = 0000000c
A = 0000000c, B = 0000000c, PC = 0000001e, SP = 00000000
A = 0000000c, B = 0000000c, PC = 0000001f, SP = 00000000
A = 0000000c, B = 0000000c, PC = 00000020, SP = 00000000
A = 00000000, B = 0000000c, PC = 00000021, SP = 00000000
A = 00000000, B = 00000000, PC = 00000022, SP = 00000000
A = 00000000, B = 00000000, PC = 00000003, SP = 00000000
A = 00000000, B = 00000000, PC = 00000004, SP = 00000000
A = 00000000, B = 00000000, PC = 00000005, SP = 00000000
A = 00000000, B = 00000000, PC = 00000006, SP = 00000000
A = 00000000, B = 00000000, PC = 00000007, SP = 00000000
A = 00000026, B = 00000000, PC = 00000008, SP = 00000000
A = 00000026, B = 00000000, PC = 00000009, SP = 00000000
A = 00000001, B = 00000026, PC = 0000000a, SP = 00000000
A = 00000025, B = 00000026, PC = 0000000b, SP = 00000000
A = 00000026, B = 00000026, PC = 0000000c, SP = 00000000
A = 00000000, B = 00000026, PC = 0000000d, SP = 00000000
A = 00000000, B = 00000000, PC = 0000000e, SP = 00000000
A = 00000001, B = 00000000, PC = 0000000f, SP = 00000000
A = 0000000c, B = 00000000, PC = 00000010, SP = 00000000
A = 00000000, B = 00000000, PC = 00000011, SP = 0000000c
A = 000000e9, B = 00000000, PC = 00000012, SP = 0000000c
A = 000000e9, B = 00000000, PC = 00000013, SP = 0000000d
A = 00000179, B = 000000e9, PC = 00000014, SP = 0000000d
A = 00000262, B = 000000e9, PC = 00000015, SP = 0000000d
A = 000000e9, B = 000000e9, PC = 00000016, SP = 0000000d
A = 00000000, B = 000000e9, PC = 00000017, SP = 0000000d
A = 00000000, B = 00000000, PC = 00000018, SP = 0000000d
A = 00000001, B = 00000000, PC = 00000019, SP = 0000000d
A = 0000000c, B = 00000000, PC = 0000001a, SP = 0000000d
A = 00000001, B = 0000000c, PC = 0000001b, SP = 0000000d
A = 0000000d, B = 0000000c, PC = 0000001c, SP = 0000000d
A = 00000000, B = 0000000d, PC = 0000001d, SP = 0000000d
A = 0000000d, B = 0000000d, PC = 0000001e, SP = 00000000
A = 0000000d, B = 0000000d, PC = 0000001f, SP = 00000000
A = 0000000d, B = 0000000d, PC = 00000020, SP = 00000000
A = 00000000, B = 0000000d, PC = 00000021, SP = 00000000
A = 00000000, B = 00000000, PC = 00000022, SP = 00000000
A = 00000000, B = 00000000, PC = 00000003, SP = 00000000
A = 00000000, B = 00000000, PC = 00000004, SP = 00000000
A = 00000000, B = 00000000, PC = 00000005, SP = 00000000
A = 00000000, B = 00000000, PC = 00000006, SP = 00000000
A = 00000000, B = 00000000, PC = 00000007, SP = 00000000
A = 00000025, B = 00000000, PC = 00000008, SP = 00000000
A = 00000025, B = 00000000, PC = 00000009, SP = 00000000
A = 00000001, B = 00000025, PC = 0000000a, SP = 00000000
A = 00000024, B = 00000025, PC = 0000000b, SP = 00000000
A = 00000025, B = 00000025, PC = 0000000c, SP = 00000000
A = 00000000, B = 00000025, PC = 0000000d, SP = 00000000
A = 00000000, B = 00000000, PC = 0000000e, SP = 00000000
A = 00000001, B = 00000000, PC = 0000000f, SP = 00000000
A = 0000000d, B = 00000000, PC = 00000010, SP = 00000000
A = 00000000, B = 00000000, PC = 00000011, SP = 0000000d
A = 00000179, B = 00000000, PC = 00000012, SP = 0000000d
A = 00000179, B = 00000000, PC = 00000013, SP = 0000000e
A = 00000262, B = 00000179, PC = 00000014, SP = 0000000e
A = 000003db, B = 00000179, PC = 00000015, SP = 0000000e
A = 00000179, B = 00000179, PC = 00000016, SP = 0000000e
A = 00000000, B = 00000179, PC = 00000017, SP = 0000000e
A = 00000000, B = 00000000, PC = 00000018, SP = 0000000e
A = 00000001, B = 00000000, PC = 00000019, SP = 0000000e
A = 0000000d, B = 00000000, PC = 0000001a, SP = 0000000e
A = 00000001, B = 0000000d, PC = 0000001b, SP = 0000000e
A = 0000000e, B = 0000000d, PC = 0000001c, SP = 0000000e
A = 00000000, B = 0000000e, PC = 0000001d, SP = 0000000e
A = 0000000e, B = 0000000e, PC = 0000001e, SP = 00000000
A = 0000000e, B = 0000000e, PC = 0000001f, SP = 00000000
A = 0000000e, B = 0000000e, PC = 00000020, SP = 00000000
A = 00000000, B = 0000000e, PC = 00000021, SP = 00000000
A = 00000000, B = 00000000, PC = 00000022, SP = 00000000
A = 00000000, B = 00000000, PC = 00000003, SP = 00000000
A = 00000000, B = 00000000, PC = 00000004, SP = 00000000
A = 00000000, B = 00000000, PC = 00000005, SP = 00000000
