A = 00000000, B = 00000005, PC = 00000004, SP = 00000000
A = 00000000, B = 00000000, PC = 00000005, SP = 00000000
A = 00000005, B = 00000000, PC = 00000006, SP = 00000000
A = 00000003, B = 00000005, PC = 00000007, SP = 00000000
A = 00000006, B = 00000005, PC = 00000008, SP = 00000000
A = ffffffff, B = 00000005, PC = 00000009, SP = 00000000
A = ffffffff, B = 00000005, PC = 0000000a, SP = 00000000
A = 00000002, B = ffffffff, PC = 0000000b, SP = 00000000
A = 00000002, B = ffffffff, PC = 0000000c, SP = 00000000
A = 00000004, B = 00000002, PC = 0000000d, SP = 00000000
A = 0000000a, B = 00000002, PC = 0000000e, SP = 00000000
A = 0000000c, B = 00000002, PC = 0000000f, SP = 00000000
A = 00000004, B = 0000000c, PC = 00000010, SP = 00000000
A = 00000004, B = 0000000c, PC = 00000011, SP = 00000000
A = 00000000, B = 00000004, PC = 00000012, SP = 00000000
A = 00000005, B = 00000004, PC = 00000013, SP = 00000000
A = 00000001, B = 00000005, PC = 00000014, SP = 00000000
A = 00000006, B = 00000005, PC = 00000015, SP = 00000000
A = 00000000, B = 00000006, PC = 00000016, SP = 00000000
A = 00000000, B = 00000006, PC = 00000017, SP = 00000000
A = 00000000, B = 00000006, PC = 00000004, SP = 00000000
A = 00000000, B = 00000000, PC = 00000005, SP = 00000000
A = 00000006, B = 00000000, PC = 00000006, SP = 00000000
A = 00000003, B = 00000006, PC = 00000007, SP = 00000000
A = 00000006, B = 00000006, PC = 00000008, SP = 00000000
A = 00000000, B = 00000006, PC = 00000009, SP = 00000000
A = 00000000, B = 00000006, PC = 00000018, SP = 00000000
